24.822	5.636	18.052	18.963	18.826
18.636	5.272	13.627	12.590	11.362
20.161	0.897	5.865	12.251	14.025
15.527	0.806	0.886	3.819	10.184
17.027	0.094	2.162	7.446	10.824
4.851	-4.091	0.606	1.860	0.074
3.849	-0.759	3.926	2.662	2.751
0.564	0.375	0.922	1.461	4.053
1.445	0.790	5.318	2.356	4.161
-0.052	0.366	4.221	24.014	2.664
11.084	9.759	8.225	49.747	11.271
0.439	-0.796	1.811	43.725	0.544
-0.089	1.440	4.622	47.169	2.043
1.293	2.405	5.227	2.039	3.010
13.701	3.530	6.235	3.188	8.119
15.155	-0.703	1.506	5.534	8.793
-0.229	-3.364	0.903	-0.929	-0.196
0.954	0.391	4.865	1.957	3.580
1.854	2.149	5.519	3.055	3.616
12.787	2.481	5.279	1.534	6.524
13.945	2.509	5.178	3.076	7.544
10.331	0.085	2.842	0.684	4.010
5.195	-6.956	-4.210	-4.549	-2.161
5.113	0.897	4.123	3.466	1.476
2.277	0.083	3.714	2.550	2.863
-1.348	0.653	2.288	0.850	0.142
15.111	4.404	7.286	3.144	8.316
14.056	0.629	4.232	1.293	5.434
12.195	-0.169	2.595	1.238	4.499
9.024	1.396	4.289	3.900	3.941
2.744	4.685	6.373	4.891	4.219
-8.463	-7.475	-4.919	-7.077	-7.103
24.485	3.599	14.121	16.198	14.798
13.172	1.706	5.733	4.571	2.942
9.117	-2.048	3.129	1.205	-2.285
14.981	-0.626	8.425	6.379	4.564
4.023	1.471	4.339	4.144	4.009
3.376	0.590	3.438	4.222	4.229
2.267	3.204	5.744	3.602	3.533
0.249	-1.398	0.023	1.671	1.357
1.250	-8.640	-3.992	-5.809	-13.206
6.126	3.184	5.538	4.555	1.587
4.509	0.084	3.644	3.228	1.798
-2.378	-3.451	-0.558	-0.464	-1.336
3.958	1.377	4.222	4.327	4.251
2.688	0.047	1.785	3.803	3.732
1.064	1.833	2.045	1.062	-0.722
-6.171	-7.116	-4.112	-4.111	-5.085
27.082	18.472	22.628	21.003	7.859
